fist_phrase	reply
Вчера делала крем-карамель . Все получилось очень вкусно, но все отметили, что слишком сладко. В следующий раз положу чуть меньше сахара. И карамелька получилась светлая - но я ее делала всего 5 минут, в след. раз - 8 минут. А по мне, так очень вкусно итак. Спасибочки.	Очень рада,что получилось и вам понравилось!!!!
Прекрасно всё получилось, очень вкусно))	Спасибо за рецепт!))
вы без кофе пробовали делать (с каким-то другим ароматизатором, но с белым шоколадом?)	Да, Алина, с ликёром Моллис(он опять же с кофем), вообще хочу попробовать с апельсиновыми цукатами, мне кажется будет то что надо
было очень интересно их делать	А я, если первый раз когда делала -немного напрягалась, то теперь уже делаю их между делом.
А как ты посоветуешь их хранить? Им примерно неделю придётся полежать.	Оленька,я думаю лучше хранить в сухом помещении ,в контейнере и сли апельсинов переслоить пергаментной бумагой .
С наступающими праздниками! Здоровья и счастья тебе и всей твоей семье	Сердечное спасибо за добрые пожелания
Ликусь, вот и мои каляки - маляки. Очень новогоднее лакомство!	Татьяна,апельсины у тебя получились самые-пресамые настоящие. Просто чудесные!
Спасибо, было очень интересно их делать.	на здоровье!!! Огромное тебе спасибо за теплый отзыв и чудесный отчет!!!
Лика! Я тоже к тебе с очередными апельсинками к очередному Рождеству.	Таня,великолепный отчёт! Какие же очаровательные апельсинки у тебя получились Настолько чудесные, просто прелесть!!! Объеденье!!! Спасибо тебе огромное, Таня, что вновь доверилась моим рецептам!!!
Оленька,я думаю лучше хранить в сухом помещении ,в контейнере и сли апельсинов переслоить пергаментной бумагой .	Поняла, спасибо!
Лика, огромное спасибо за рецепт!	Оленька,на доброе здоровье!!!
С настоящими снежинками	Анастасия,Спасибо огромное,за доверие и интерес к рецепту, и за фантастический отчет!!!
Акилежна	Спасибо, дорогая, за твой такой замечательный рецепт! Огромное!
С наступающим тебя! Счастья, здоровья! Всех благ!	Спасибо огромное !С Новым Годом,
В этoм месяце уже второй раз их делаю, и сегодня вот.. а как же без наших любимых апельсинов	Как здорово!!! Мне так радостно это слышать
аЛикуся с Новым Годом тебя !!!	вот и мой отчетик -очень вкусно и изысканно !!!
вот и мой отчетик -очень вкусно и изысканно !!!	Какие очаровательные апельсинки и как много Просто чудесные!!! Огромное тебе спасибо, что поделилась со мной таким вкусным отчетом и отзывом! Готовь на здоровье и с удовольствием!!!
Очень вкусно	Спасибо за рецепт
Лика! Я опять с апельсинками! Делала на Новый год!	В этот раз немного поэкспериментировала (попалам порезала часть).
Спасибо, тебе, ещё раз!	на здоровье!!!
Лика, спасибо огромное за рецепт от меня и всех моих друзей, которые просто очарованы апельсинками!	Делала половинки, апельсины были крупные, и чем больше они лежали, тем вкуснее становились!
Лика, большое спасибо за рецепт.	Вита,на большое здоровье пользуйтесь
И без шоколада класно.	Я ужасно рада, что все получилось и понравилось!!! Спасибо тебе огромное, что поделилась со мной своим чудесным отчетом и таким приятным отзывом!Готовь на доброе здоровье и на радость своим деткам!
Ликочка, все отлично и очень вкусно получилось!	Леночка,Я очень рада, что апельсинки получились и понравились!!!
Правда, шоколад попался неудачный.	Жалко а я стараюсь покупать один и тот же шоколад и обычно проколов не бывает ,и по цене дешевый и очень вкусный .
Сегодня сделала твой кекс с карамелизированными апельсинками -	уже половину нет!
Такая вкуснятина - силой воли заставляю себя не съесть все быстро.	Скоро прийду к тебе в темку.
Скоро прийду к тебе в темку.	Обязательно покажи ,что у тебя получилось!!!!!
За рецепт апельсинок спасибо большое!	Леночка,и Тебе спасибо огромное за доставленные невероятно приятные и радостные эмоции
Лица, спасибо за рецепт	Маришка,на здоровье!!!!
Лика, спасибо огромное, это очень вкусно! Восхитительное лакомство!	Леночка,Огромное тебе спасибо за то, что нашла время поделиться со мной своими впечатлениями и теплыми словами в адрес этого десерта
Здравствуйте,	Здравствуйте ,Валентина!!!
Что теперь с ними делать....	наверное мой ответ уже не актуален ,
Лика, спасибо за такую вкуснятину!	Мариночка,на здоровье!!!! Спасибо большое за фото-отчет!!!!
Очень хочется попробовать, но, к сожалению, никогда не встречала листов теста Фило.	А я искала, но не нашла Очень редкий гость у нас это тесто Викуль, у тебя вышли просто шикарные роллы Я реально глотала слюну, когда рассматривала фото приготовления
Виктория, выглядит изумительно!!!!!!!!	И очень аппетитно!
Очень хочется попробовать, но, к сожалению, никогда не встречала листов теста Фило. Ноя теперь будут тщательно искать в супермаркетах , может, найду. Очень хочется попробовать такую вкуснятину!	А тесто можно и самой сделать или купить в магазинах ,в морозильных камерах(я раньше тоже не знала ,что есть такое ,спасибо девчата подсказали)
Малгося писал(а):	Очень хочется попробовать, но, к сожалению, никогда не встречала листов теста Фило.
Вика, рол пахлава просто шик не прочь парочку кусочков на ночь глядя утащить надо будет поискать тесто фило спасибо за интересный рецепт	Ириш ,так я специально сёдня с утречка сделала,что бы самой на ночь не пришлось .....
Вау! Очередная вкуснятина... Очень аппетитно выглядит!!! Фото шикарные... Взяла на заметку и тесто и пахлаву! Спасибо! Надеюсь, тесто получится, а то никогда не имела дело с подобным тестом.	Кристина тесто выходит ,как слоёное,только не жирное и быстрее готовится!
Сказала и сделала - вот девчата:	Викуль, спасибо - уже просмотрела, взяла на карандаш, это ново для меня Я тоже всегда обходила рецепты, если встречалось фило А теперь я вся в вооружении
Викуля! Хочу-хочу-хочу! Прямо сейчас! Но раньше нужно купить тесто. Готовлю из него редко, хотя очень люблю, потому и нет его в моей морозилке. Но у нас это не проблема - было бы только желание и все можно купить!	Вот будет у меня много свободного времени (нас отправляют в 2-недельный отпуск за свой счет), обязательно приготовлю. Так что наведаюсь к тебе еще всенепременно!!!
А 1/2 стакана топленого масла - это сколько масла нужно растопить? Грамм 100 или чуть больше?	да Жануль где то 100 гр , но мне всегда мало
да Жануль где то 100 гр , но мне всегда мало	Викуля, большое спасибо! А мне, наверно, и этого будет много (не мне, а мужу), но все равно сделаю.
Берём 1 лист тесто Фило и раскладываем его на рабочей поверхности,складываем его вдвое (в длину ).	Получается, что ты закручиваешь ролл из двух листиков по толщине. А начинку выкладываешь только 2 раза - выложила, завернула раз-два, опять выложила начинку и опять свернула раз-два?
Вика, супер Без меда	Я всегда обхожу такие рецепты стороной из-за меда, я не переношу его в чистом виде, хотя медовики обожаю
	
	да Жануль где то 100 гр , но мне всегда мало
Мне еще не совсем понятна система сворачивания, но не столько это, а самая первая часть, в которой ты пишешь, что	
	Берём 1 лист тесто Фило и раскладываем его на рабочей поверхности,складываем его вдвое (в длину ).
А указанное к-во начинки хватает на все 4 ролла?	Да абсолютно, Много начинки если -то не вкусно!Лучше по чуть-чуть по 1-2 максимум ложки и тогда ммммммм, а на следующий день(если останется ) ещё вкуснее!!!!
Еще не купила тесто, а уже морочу тебе голову вопросами. Просто я всегда заранее выстраиваю в своей голове линию приготовления нового блюда.	Нужно всё до деталей понять ,я понимаю ,что бы вдохновение к рецепту не потерять!Жануля всегда пожалуйста!
Жануля в этот то и фишка и самое большое отличие от слоёного теста!Если без масла ,то будет сухое и рассыпаться!Точно говорю,лучше мажь масло по тоньше ,но мажь!!!	Викуля! Я обязательно буду мазать маслом - это свойство теста фило мне известно. Без смазки тесто ломкое очень.
	
	Жануля в этот то и фишка и самое большое отличие от слоёного теста!Если без масла ,то будет сухое и рассыпаться!Точно говорю,лучше мажь масло по тоньше ,но мажь!!!
Викуль, очень заинтересовал меня твой великолепный рецептик!!! Спасибо! Надо попробовать сделать...!!!	Спасибо Marina
Юлечка, на Рождество cделала колбаску.	Очень понравилась! Спасибо за рецепт!
Отличный мусс, спасибо	Ужасно рада отчётику! Вижу, что десерт получился, очень аппетитное фото
Я наконец в магазине нашла маршмэллоу	Вот это красотища Офигеть Ириша, я залюбовалась У меня есть 85% шоколад, я с ним недавно делала, в самый раз по сладости получается
У меня есть 85% шоколад, я с ним недавно делала, в самый раз по сладости получается	Кариночка, на мой вкус подойдет только вот такой .
вот такой	Надо же, я такой ещё не пробовала Это, да, для гурманов если есть его в чистом виде, но знаешь, для этого десерта, думаю, такой шоколад идеальным будет Тоже теперь хочу такой
такой шоколад идеальным будет	Ага!ИМХО, сладости хватит и от маршмэллоу.
Тоже теперь хочу такой	Я обычно в Перекрестке и Азбуке Вкуса покупала.
Я обычно в Перекрестке и Азбуке Вкуса покупала	Спасибо, Ириша, обязательно зайду гляну
Попробую приготовить с зефиром.	Ириш, с зефиром может и не застыть просто будет густой массой и растворяется зефир хуже маршмеллоу Хотя, лично я на зефире ни разу и не пробовала
Ириш, с зефиром может и не застыть п	Тогда не буду рисковать.
Тогда не буду рисковать	Да, Ириш, с маршмеллоу всегда схватывается намертво, а с зефиром пришлось бы желатин добавлять Так что ищи белый маршмеллоу, а у куплю муку манитобу и приду к тебе
Быстрый и очень вкусный десерт. Только чуть сладковат для меня . Наверное, надо брать шоколад с наивысшим процентным соотношением какао.У меня был 70% .	Ирина и я первый раз так сделала, а потом нашла шоколад 85% и всё получилось
очень вкусный, шоколадный и порционный, что не мало важно.	Людочка, как я рада, что мусс понравился Готовь на здоровье, приходи ещё Очень извиняюсь, что с опозданьем отвечаю
Очень извиняюсь, что с опозданьем отвечаю	Карина, всё в порядке, вопросов то не было)))
всё в порядке, вопросов то не было)))	Спасибо, Людочка, за понимание Я обычно сразу стараюсь отвечать, но сейчас пока так получается
Я первая !	Иринча
А по вкусу похоже на ленивые вареники?	ага,похоже,только еще и аромат сухариков,мне это блюдо больше понравилось,потому что они провели ночь в холодильнике а утром я холодными позавтракала со сметаной,вкус не стал хуже,даже наоборот лучше.
а сухари у тебя панировочные?	Ага,обычные магазинные,продаются в пачках.
у меня есть печенье, может его раскрошить в крошку и поджарить до коричневого цвета?	Я к стати о печенье тоже подумывала,думаю вообще будет вкусно!
они получаются солеными или сладкими?	У меня получились чуть сладковатые,хотя много сахара в творог лучше не сыпать,он будет разклеиваться при варке,лучше уже при подаче сметанку взбить с сахарком и полить их.
давно смотрела на это Гамбовцы на том сайте где ты их увидела,	Готовь,хорошая штука!
а вот можно же их еще и сгущенкой полить	сливки можно взбить с сахаром,
сливки можно взбить с сахаром,	OLYA-V
или же просто поддались лени, как я сегодня это точно что бывает.Но по тебе не скажешь.	Katrin03
( Я , наверное, скоро лопну!)	Ирочка, это актуальная проблема для каждого на нашем сайте!
Ириша , а ты с творожком только ? И масла совсем не добавляла ?	"Викуль, я к основному рецепту добавила творог. И в этот раз у меня не было пасты, поэтому делала с молотым миндалем, который Almond meal. Вот очень вкусно!!! Пирожное "" Картошка"" напоминает. Сегодня все уже и съела."
Я так думаю, что Ирочка просто добавила творожка ко всему остальному. Мы с ней беседовали на эту тему раньше - это был наш удачный эксперимент.	Ну, да, все правильно, Малинка!!!! Именно так и сделала.
Можно попробовать со сливочным маслом, но я не думаю, что это хорошая идея. Лучше брать любые орешки - они-то и задают здесь основной тон. Пробуй на здоровье!	спасибо
сделаю свои сырочки (без овсянки) и шарики отдельно	Тоже так надо попробовать.
"а тут ты ""дразнилка"" моя прекрасная!"	Вчера доела последний шарик. Сегодня опять охота.
Ну, с тобой-то всё ясно... с твоей-то добавочкой в виде конопли,	Вот ты меня и раскусила!
Причём, с удовольствием	Я тоже!
чудо в перьях, ей Богу	Ну, очень даже замечательное Чудо в перьях!!!!!
"Если спросят, кто я, то так и сказать, что я ""русское чудо в перьях с чудными американскими шариками""!!!"	А вы отмечаете с детками? Мы конфет купили 2 мешка! С мужем обычно на страже. Он конфеты раздает, а я собаку держу на руках, а то он сильно нервничает, когда такая разношерстная компания стучит в дверь.
Он конфеты раздает, а я собаку держу	он добрый, а ты на охране
он добрый, а ты на охране	Ага, типа доброго Волшебника! А я - секъюрити вместе с собакой.
А я - секъюрити вместе с собакой.	абсолютно верно
Надень ему колпак волшебника в четверг, а себе очки черные	Irina Divers
Делала по другому , но тож оч вкусно	Викуль, как делала?
Викуль, как делала?	Я можно здесь рецепт напишу ? Так как не хочу выкладывать отдельно рецептом , но так мне больше по душе и мне как полноценный завтрак
	Да, в этом году детки будут скорее всего агрессивнее попрошайничать, так что, надеюсь, что вам хватит 2 мешка конфет. Ведь у них не было этой возможности 2 года подряд из за погодных условий. Хотя и на завтра обещают дождь в наших степях, но не думаю, что это их удержит.
	Викочка, какие красавчики у тебя вышли! Спасибо, милая, за доставленную радость!
"Я читаю и думаю, что напишу как можно выйти из этого положения, а вы уже сами догадались, молодцы! Не забудьте написать записочку: ""Help yourself""."	Я тоже так делаю иногда и миска пустой никогда не оставалась. Видимо, мои конфеты деток не особо вдохновляли.
Оооочень вкусно , и отруби в ход пошли !!!!!	Ага, вкусно!!!! Прочитала состав, даже отруби есть! А я опять забыла купить льняное семя.
На счёт конопли вас вчера читала , чуть ......... Не уписалась	так что, надеюсь, что вам хватит 2 мешка конфет.
так что, надеюсь, что вам хватит 2 мешка конфет.	Тоже надеюсь, что хватит. Мешки большие, по 250 штук конфет.
Хотя и на завтра обещают дождь в наших степях, но не думаю, что это их удержит.	У нас всегда хорошая погода на Хэллуин, правда, по мне так морозно. Вообщем , как у Вики, 68 F. Я люблю от 80 и больше.
Думаю, что если выложить много купюр по $1, то такого не произойдёт	Irina Divers
Вопрос созрел: как запекать яблоки - целыми или ни дольки разрезанными?	Я запекала целыми, но думаю, что можно почистить и запечь дольками, а потом просто убрать кожицу... Как удобнее)))
Давно искала именно такую пастилу	Спасибо, я тоже давно хочу пастилу приготовить, но большинство технологий все же для частного дома, а не городской квартиры. А это то, что нужно
но большинство технологий все же для частного дома, а не городской квартиры. А это то, что нужно И приходится переносить сушку на воздухе в духовку, как у автора	Елена, спасибо за рецепт! После того как я попробовала пару раз Белевскую пастилу, я этот вкус не забуду никогда. Жаль, что ее почти не возможно найти в магазине, да и цена на нее заоблачная. Я пересмотрела разные рецепты и в домашних условиях ее сделать непросто, но ваш рецепт пастилы очень приближен и вполне реален. Думаю, что можно попробовать сделать. До этого я делала только обычную из яблочного пюре с сушкой в духовке, получается такая тоненькая и кисленькая пластиночка, что тоже не плохо, но не так. Белевская пастила делается со взбиванием массы вместе с белком, как у Вас и обязательно промазанными слоями как у вас пюре а в оригинале просто взбитым белком Спасибо за рецепт, я обязательно сделаю и отчитаюсь !
	Спасибо, Елена, вы меня вдохновили на этот подвиг. Оценили все. Ели как деликатес
Фотки не выставляю, т.к. она у меня не порезалась , а ломалась и рвалась (середина мягкая, края пересушены). Но это из-за духовки, нужно к ней приноровиться... Елена, а у меня равномерная получилась, т.к сушила в режиме конвекция - с вентилятором и ориентировалась на сухость пастилы, т.е чтобы не была влажной и не продавливалась, а скорее пружинилась. От бумаги отходила хорошо. А рвалась потому что не досушилась. Хотя, у меня в нескольких местах тоже были разрывы, но вторую партию я сначала порезала пополам, смазала и одну на другую тут же наложила, потом только снимала бумагу. Потом порезала сложенные части еще пополам, намазала и одну на другую наложила. Потом еще пополам, намазала и опять сложила. Края обрезала ( самые вкусные были обрезки ) и поставила в духовку еще минут на 20 уже единым брикетом.	Потом, когда остыло, пудрой посыпала...
	Назрел вопрос: когда она в духовке, но уже готова, какова она на ощупь должна быть? Мягкая?
Но вкусно из любых яблок)))	Даже пересушеная и чуть подгоревшая не дожила до утра)))))
и вот сверху она пружинит, а внутри пачкает палец....значит надо еще сушить? когда она высохнет- то?!!!)))))	Марина, надо было поднять повыше противень. Видимо низ у вас не прогревается. Я так первую партию запорола. Вернее 1 противень. Решила 2 противня сразу сушить, т.к делала двойную норму. Может и у вас та же ситуация? Так вот нижний противень не просох. Я два дня их сушила, в итоге низ почернел у одного противня. Я не стала писать об этом, потому как это моя ошибка. Но она понятна для меня. Противень должен быть 1 и находиться в середине. А лучше еще, если слой будет все же потоньше, хотя бы см 2, тяжело очень сушить, когда слой толстый. Я во вторую партию делала тоньше. Мои просят делать еще...
Здравствуйте, Елена!!)) сушу ее с утра т.е. уже 9 часов...и вот сверху она пружинит, а внутри пачкает палец....значит надо еще сушить? когда она высохнет- то?!!!)))))	Наверное правда дело в духовке. Может попробовать оставить пастилу на ночь в холодной духовке, посмотреть - что будет с ней на утро (но есть вероятность, что резать будет ее трудно)? Моя первая пастила тоже очень долга сохла - но я грешила на сорт яблок, в итоге сушила долго на 50 градусах (чтобы не подгорела), резала еще мягкую совсем, но на следующее утро она была довольно жесткая... Попробуйте посушить без духовки или разрезать мягкую и оставить до утра.
.в итоге с краев она полностью просохла, а в середине на две трети в толщину высохла, и тонкий слой липкий и влажный	Ирюська
"...Купила с небольшой кислинкой и сахару положила 100 грамм, хотя чуть сладковато все равно, нужно было еще меньше. Собственно получилось очень вкусно, мы на завтрак с детьми всю и сьели Такой сухой, как у вас на фото не получилась, я поняла нужно к духовке приноравливаться, моя очень ""тихая""."	Главное что вкусно))) Вот бы из антоновки попробовать - сама делала эту пастилу только из кисло-сладких яблок.
Главное что вкусно))) Вот бы из антоновки попробовать - сама делала эту пастилу только из кисло-сладких яблок.	Мама мне рассказала, что на местном рынке нашего райцентра (Черниговщина) женщина просила забрать антоновку за 25 центов! Это значит не ценятся у нас эти замечательно-полезнейшие яблочки, все сладости хотят. А антоновка, хоть и кислая, но очень полезная!
Поставить в холодильник до полного застывания слоя.	вот с этим у нас проблемы
вот бы их сразу эти слои наливать	Вот это - нет, иначе все смешается, и никаких слоев не будет.
иначе все смешается, и никаких слоев не будет.	да,вот по фотке видно...была попытка сделать 3-слойное
Ну это у тебя просто другой	другой-другой! я просто ,,нетерпёжек,,показать хотела,как Вы верно их назвали
Красиво и вкусно!	Мои девочки с детства обожают это желе.
Пока застывает первый слой, остальное не загустеет?	Марина!
сколько нужно добавлять желатина в этом случае? и какой больше подойдет?	Женечка!
пошла делать сию вкусняшку	Женечка! Удачи!
и еще пару малюсеньких вишенок добавила в последний слой ,получилось красиво	Здорово придумала!
только с последним слоем немного поспешила и слои немного смазались	Посоветую:
А сколько по времени примерно один слой застывает????	Танечка! Недолго, как обычно желе. Но здесь слои тонкие, значит, еще быстрее. Я никогда не засекала время. Вишневый слой - подольше, т.к. в нем кислота.
Оксана, замечательный десерт! с удовольствием испробую это вкуснейшее лакомство спасибо огромное за рецепт!	кстати хотела спросить, а за счет желатина йогурт получается твердым, типа желе?
"Даша , при таком соотношении продуктов, которые я дала в этом рецепте как раз и получается консистенция йогурта из стаканчика типа ""эрмигут"", ""чудо"" итд (т.е не питьевой)"	вау, здорово! спасибо за ответ) будем пробовать
Оксан,а чем можно заменить желатин?а то его тут нет...	"Мариночка,извини даже не знаю что посоветовать Знаю замена желатина -агар но в моем ""медвежьем уголке"" он не продается"
вау, здорово! спасибо за ответ) будем пробовать	Дашечка, попробуй - все равно ничего не проиграешь, даже если получится желе, оно все равно будет вкусным и полезным) Т.К многое зависит от качества кисло-молочного продукта, который ты будешь использовать. Сделаешь один раз, если не получится, как и у меня в первый раз, в следующий раз подкорректируешь под себя рецепт
Оксана, я тоже так делаю! Десертик получается супер, едим всей семьёй с удовольствием.	Прикольно!!! Надо попробовать!!! Спасибо, Оксаночка, что поделилась рецептиком!!!
Прикольно!!! Надо попробовать!!! Спасибо, Оксаночка, что поделилась рецептиком!!!	Интересный рецептик! У меня дети взрослые,но йогурты любят Попробую приготовить! Спасибо большое Оксаночка,что поделилась!
Интересный рецептик! У меня дети взрослые,но йогурты любят Попробую приготовить! Спасибо большое Оксаночка,что поделилась!	Светочка,Ирулька,Анжелика : спасибо огромное что заглянули на мою страничку Я вам так благодарна за ваши рецепты не только наивкуснейшие.но и шикарно оформленные Вы мои учителя
