fist_phrase	reply
".Получаются рыбные котлеты ""по- киевски"	это точно!!!
очень люблю именно рыбные котлеты ,а не мясные	ну а я вообще к рыбе неравнодушна, как ты знаешь
особенно первая со сковородочки...обжигающая рот....мммммм вкуснотища	ну это ж святое дело - продегустировать!!!
Я всегда в рыбный фарш добавляла немножко творога	а я вот слышала о таком, но никак пока не решусь, наверное, пора
а вот овсянку майонез	Супер супер супер
перешла на такой упрощенный способ и пользуюсь им постоянно - на рыбных и куриных котлетах особой разницы с традиционным не обнаружила, а вот экономия времени существенная	если рецепт уже многократно отработан,тогда и сомневаться не буду,дело только за рыбой осталось .
дело только за рыбой осталось .	спасибо, Лидочка, за доверие и угощайся на здоровье!
а кусочки маслица,легким движением руки, тоже затолкаю вглубь	я тогда расскажу, как сама это делаю (вот не сделала пошаговые в этот раз, но надеюсь, будет понятно) - я рыбные котлеты всегда формирую так - набираю полную столовую ложку фарша, перекладываю его во вторую руку и хорошо прижимаю сверху ложкой, потом немного поворачиваю заготовку и снова прижимаю ложкой. И вот если вижу масло сверху, то рукояткой ложки, - она у меня заостренная и тонкая - запихиваю масло внутрь
Сделаю себе любимой	а может попробуй и своим мужчинам подать - главное не говори, что рыбные - например, треска и сама с тонким вкусом, а тут вообще сложно определить, что она там - мой муж в самый первый раз курицу пытался обнаружить в этих котлетках
ЯНочка, угощайся, буду рада, если оценишь, а может и Максику понравятся	Натуль уже понравились.Вчера с пюре молотил за обе щеки.И муж и я ели очень нежные котлетки действительно получились.Спасибо Натуля.Я из трески мороженой делала.
сегодня день рыбных котлеток как я посмотрю	главное, что, если вкусно, то их много не бывает
ах,кто бы такой котлеткой угостил	понимаю значит, надо готовить
но масло сливочное не трется в фарш, а добавляется в виде колбасок(по типу приготовления зраз),	мне тоже очень хорошо знаком такой способ раньше именно так и делала , но вот в последнее время либо из-за постоянной нехватки времени, либо просто врожденная лень замучила , но перешла на такой упрощенный способ и пользуюсь им постоянно - на рыбных и куриных котлетах особой разницы с традиционным не обнаружила, а вот экономия времени существенная я правда когда формирую уже котлетки, если вижу, что где-то кусочек масла сверху оказывается, так его внутрь немного вдавливаю, чтоб все соки внутри остались и жарить конечно надо на хорошо разогретой сковороде, чтобы сразу корочка схватилась и масло не вытекало
".Получаются рыбные котлеты ""по- киевски"	это точно!!!
очень люблю именно рыбные котлеты ,а не мясные	ну а я вообще к рыбе неравнодушна, как ты знаешь
особенно первая со сковородочки...обжигающая рот....мммммм вкуснотища	ну это ж святое дело - продегустировать!!!
Я всегда в рыбный фарш добавляла немножко творога	а я вот слышала о таком, но никак пока не решусь, наверное, пора
а вот овсянку майонез	Супер супер супер
перешла на такой упрощенный способ и пользуюсь им постоянно - на рыбных и куриных котлетах особой разницы с традиционным не обнаружила, а вот экономия времени существенная	если рецепт уже многократно отработан,тогда и сомневаться не буду,дело только за рыбой осталось .
дело только за рыбой осталось .	спасибо, Лидочка, за доверие и угощайся на здоровье!
а кусочки маслица,легким движением руки, тоже затолкаю вглубь	я тогда расскажу, как сама это делаю (вот не сделала пошаговые в этот раз, но надеюсь, будет понятно) - я рыбные котлеты всегда формирую так - набираю полную столовую ложку фарша, перекладываю его во вторую руку и хорошо прижимаю сверху ложкой, потом немного поворачиваю заготовку и снова прижимаю ложкой. И вот если вижу масло сверху, то рукояткой ложки, - она у меня заостренная и тонкая - запихиваю масло внутрь
Сделаю себе любимой	а может попробуй и своим мужчинам подать - главное не говори, что рыбные - например, треска и сама с тонким вкусом, а тут вообще сложно определить, что она там - мой муж в самый первый раз курицу пытался обнаружить в этих котлетках
ЯНочка, угощайся, буду рада, если оценишь, а может и Максику понравятся	Натуль уже понравились.Вчера с пюре молотил за обе щеки.И муж и я ели очень нежные котлетки действительно получились.Спасибо Натуля.Я из трески мороженой делала.
Да, запах щуки ничем не перебить)))	Но я только по вашему рецепту их стала есть))
Но я только по вашему рецепту их стала есть))	очень этому рада!!!!!!!!
Я как Оля горячие со сковороды лопала.	вкуснота!!!!!!!!
Делала уже два раза,оба из минтая, получились вкусненькие	На самое доброе здоровье!!!
В этот раз фарш был новый, никак не хотел лепиться в котлеты, сделала запеканку - вкусно и, что любопытно, отлично держала форму уже в готовом виде верх смазала сметаной с горчицей	Натуль беру себе на заметку.
беру себе на заметку.	дай бог, Януль, конечно, чтоб не пригодилось, но действительно мало ли что я так поэтому и выложила сюда подробности, вдруг кому пригодится - сама не ожидала, что из того фарша уже что-то путное получится
как же приятно, что рецептик пришелся по вкусу!!!	и не только мне
фарш был новый, никак не хотел лепиться в котлеты, сделала запеканку - вкусно и, что любопытно, отлично держала форму уже в готовом виде верх смазала сметаной с горчицей	шикарный вариант и руки чистыми будут
вчера соседке посоветовала сделать( она ждала гостей ) и решили сделать их по типу зразов(начинка лук пассерованный,отварные яйца и чуток грибов).	Сегодня я была приглашена на дегустацию
шикарный вариант и руки чистыми будут	вот и я так подумала и сегодня снова купила тот же фарш - что еще соблазняет, он почти в три раза дешевле одноименного филе - и снова запекла
И у нас вчера были твои котлетки!	Яночка, ну очень-очень этому рада!!! На самое доброе здоровье!!!
Я сегодня впервые приготовила рыбные котлеты!!!	имеешь в виду в первый-первый??? т.е. вообще ни разу в жизни не готовила рыбные???
Покупала филе минтая в брикете, специально для котлет взяла	я тоже именно такой фарш в брикетах сейчас для них и беру - причем любой (кроме речной рыбы, не едим практически ) - всегда отлично получается особо понравилось с пикшей
. Я майонез (мы его не едим) заменила на йогурт.	вот и правильно у меня никак руки не дойдут в рецепт добавить - я иногда со сметаной делаю и немного горчицы просто добавляю
т.е. вообще ни разу в жизни не готовила рыбные???	Да, Наташа, к моему стыду, ни разу в жизни не готовила, хотя очень люблю
Но теперь этот пробел в моей биографии устранён	Безмерно этому рада, Танюш , пусть теперь рыбные котлетки станут частым гостем на вашем столе!
Сейчас, когда работаю, времени и сил на готовку нет.	Очень выручают такие простые и быстрые рецепты.
котлеты на самом деле получаются нежными!	полностью согласна это наш самый любимы рецепт рыбных котлет на данный момент
Фарш приготовила из сайды	тоже как правило именно из тресковых делаю - треска, сайда, пикша
Но я всё-же добавила репчатый лук	надо и мне как-нибудь рискнуть, у моих мелких сейчас начался период - фууууу лук , но может если на терке натереть, то не учуют
Я и сюда к тебе загляну!	Я только за!!!
Какая красота! А вкусно как забираю рецептик!	Привет, Светик! Спасибо! Угощайся!
ням ням забераю светик спасибо	Юлечка, рада тебе, угощайся!
вкусняшка!	спасибо! Да, 100%-ная.. потому что муж уже по прошествии времени после ужина дважды сказал мне вчера: дааа, рыбка вкусная получилась
Спасибо, Светлана!	Спасибо Вера, что заглянули!
Светик, шикарная рыбка	Рецептик очень по мне Люблю рыбу и баклажаны обожаю,а тут два в одном Беру в копилочку,спасибо
Рецептик очень по мне Люблю рыбу и баклажаны обожаю,а тут два в одном Беру в копилочку,спасибо	Классный рецептик!
Классный рецептик!	Светик!рыбку раздаешь вкусно как и красиво.умница-красавица.
Светик!рыбку раздаешь вкусно как и красиво.умница-красавица.	Девочки, дорогие, спасибо!
ООО! У меня как раз следующая неделя рыбная! Жди с отчетом!	Танюш, когда рецепт выставляла, знала что тебе он точно пригодится!
Светочка, спасибо	рыбка по-нашему
Свет,даже не дочитала до конца,захлебнулась отличный рецептик	Спасибо, Наталья!
Светик,рыбка супер вкусная!	Семга да с такими овощами,что может быть вкуснее
Танюш, когда рецепт выставляла, знала что тебе он точно пригодится!	Друх!!!
Светочка, очень аппетитный рецептик! Обожаю именно семгу, а новый способ приготовления - как нельзя кстати! Спасибо, что поделилась!	Елена, на здоровье, рада буду если пригодится рецептик и понравится!
Друх!!!	swetta
Света,очень хороший рецепт!!! Спасибо большое!!!	Татьяна, спасибо!
Какая красота! А вкусно как забираю рецептик!	Привет, Светик! Спасибо! Угощайся!
ням ням забераю светик спасибо	Юлечка, рада тебе, угощайся!
вкусняшка!	спасибо! Да, 100%-ная.. потому что муж уже по прошествии времени после ужина дважды сказал мне вчера: дааа, рыбка вкусная получилась
Спасибо, Светлана!	Спасибо Вера, что заглянули!
Светик, шикарная рыбка	Рецептик очень по мне Люблю рыбу и баклажаны обожаю,а тут два в одном Беру в копилочку,спасибо
Рецептик очень по мне Люблю рыбу и баклажаны обожаю,а тут два в одном Беру в копилочку,спасибо	Классный рецептик!
Классный рецептик!	Светик!рыбку раздаешь вкусно как и красиво.умница-красавица.
Светик!рыбку раздаешь вкусно как и красиво.умница-красавица.	Девочки, дорогие, спасибо!
ООО! У меня как раз следующая неделя рыбная! Жди с отчетом!	Танюш, когда рецепт выставляла, знала что тебе он точно пригодится!
Светочка, спасибо	рыбка по-нашему
Свет,даже не дочитала до конца,захлебнулась отличный рецептик	Спасибо, Наталья!
Светик,рыбка супер вкусная!	Семга да с такими овощами,что может быть вкуснее
Танюш, когда рецепт выставляла, знала что тебе он точно пригодится!	Друх!!!
Светочка, очень аппетитный рецептик! Обожаю именно семгу, а новый способ приготовления - как нельзя кстати! Спасибо, что поделилась!	Елена, на здоровье, рада буду если пригодится рецептик и понравится!
Друх!!!	swetta
Света,очень хороший рецепт!!! Спасибо большое!!!	Татьяна, спасибо!
МММ!!!! какая вкусняшка!!!!! забрала!!!!	Буду ждать тебя с отчетиком, Гуль!
Буду ждать тебя с отчетиком, Гуль!	вуаля!!! рыбка получилась очень вкусная!!! спасибо за рецепт!!!
вуаля!!! рыбка получилась очень вкусная!!! спасибо за рецепт!!!	Гулечка, спасибо за отчети, такой аппетитный, такой вкуснючий
Ну вот и я наконец добралась до вкуснющей рыбки правда уже с замороженными овощами,но все же...у меня был морской окунь,блин забыла про помидоры... Света.блюдом остались довольны все,очень вкусное и несмотря на овощи все таки зимнее ,сытное жаркое,так что передаю ото всех спасибо тебе большое	Наташенька Спасибо большое за отзыв Я думала что рецептик уже канул в лета Я очень рада что всем понравилось!!!
