fist_phrase	reply
Ой Иришечка, какая кашка рассыпчатая!!!!!!!!! ава просто роскошная!!!!!!!	Наташенька, спасибо большое, дорогая!!!! Приятнаааа!!!!
Ирочка, кашка - отличная!	Аватарка - блеск Голливуд отдыхает
Неееее но аваторка ОТПАД!!!!!!!	Голивудская звезда!!!!!!
А я гречку на ночь заливаю кипятком, а утром только до кипения и все, но так ни когда не пробывала.Класс!!!!	Спасибо, землячка!!!!!
Ирочка, будешь, однозначно! Я тоже не узнала! Ты - звезда!!!	Танюша, спасибо большое!!! Поверь, это взаимно!!! Будем мы с тобой богатющщщие-я тебя тоже не узнала!!! Красотка с бесподобной улыбкой!!! Танюш, ава- СУПЕРРРР!!!!!
Кашку гречневую люблю очень. Даже на гречневой диете сидела пару раз, и она мне не надоела! Готовлю кашу ровно таким же способом, но вот с добавками не пробовала.	Спасибо, Дорогулечка за рецепт, обязательно его испытаю!
а я добавила еще болгарского перца и зеленого огурчика - тожн неплохо...мужу в качестве гарнира понравилось!	Конечно добавки можно варьировать по своему вкусу! Лилечка, рада, что Вам с мужем понравился рецептик!!! Спасибо большое за отзыв!!!
СВеточка, красота! У тебя видимо рис белый? Как получилось?	Я когда делаю с коричневый (он такой дубовый что ли) получается сок уваривается до сиропа густого. А как с белым рисом?
Татьяна, отличный рецепт! Последняя неделя поста, самое время приготовить такой плов.Обязательно сделаю! Спасибо!	Светочка, я рада, что ты заглянула, приготовь на здоровье такой плов очень вкусный, в нем необычно сочетание жареного лука и сухофруктов
спасибо за рецепт.	Наташа, приготовь, не пожалеешь, я уверена твоим понравится
давно его видела,забрала для поста	понравился такой способ варки риса очень аппетитно выглядит
Меня тоже заинтересовал данный рецепт.	Плов делаю в мультиварке и...мясо совсем немного себе оставляю в порции. В основном люблю рис с поджаркой.
Я не выхожу со своей странички, т.к у меня дурацкий пароль....	Сама придумала........сама и мучаюсь с ним.......
в пост надо делать,спасибо	Валюша, это очень вкусный вариант постного плова желаю попробовать
Буду рада если такой простенький рецепт,да еще и в сезон кабачков ,пригодится Анжела, ну ещё бы - не пригодился? Конечно пригодится, а уж как мы дома перловку все любим ! Наш министр обороны - очень странный мэн , он в армии запретил перловку, пшёнку и овсянку . Совсем! Типа больше не сметь их готовить, иначе всех под суд! Вот чудак, надо было просто научить армейских поваров её вкусно готовить, кладезь полезных веществ в них, в этих крупах...	alena-solena
ну ещё бы - не пригодился? Конечно пригодится, а уж как мы дома перловку все любим	Аленушка,готовь на большое здоровье и в удовольствие
Наш министр обороны - очень странный мэн , он в армии запретил перловку, пшёнку и овсянку	Совсем! Типа больше не сметь их готовить, иначе всех под суд!
Совсем! Типа больше не сметь их готовить, иначе всех под суд!	интересное заявление,по-моему все наши дедушки и папы в армии только этим питались и наедались
Вот чудак, надо было просто научить армейских поваров её вкусно готовить, кладезь полезных веществ в них, в этих крупах...	надо бы нам собраться девушкам -форумчанкам ,и туда в армию ....и в конце концов научить их готовить вкуснюющие рецепты из круп.
Замечательный рецепт! Спасибо, Лика! Забираю в закладочки!	Наталья,Очень надеюсь, что рецепт пригодится Готовь, дорогая, на здоровье!
Лика, рецепт отличный!	Ликочка, очень интересный рецепт
Ликочка, очень интересный рецепт	Спасибо, забрала
Лика, аппетитно до невозможности! Выглядит потрясающе Не сомневаюсь, что вкуснятина. Надо купить перловочки, да забабахать!	Спасибо за рецепт!
Лика, спасибо!!! Мне очень-очень понравился рецепт!!!!!!! Пошла замачивать перловку на ночь	Ирина,желаю вкусного блюда
Люблю перловку в нашей семье только я одна! Может в таком исполнении она полюбится моим домашним! Спасибо, дорогая, очень интересная и,несомненно, вкусная перловочка!!!	Леночка,конечно попробуй приготовить в таком варианте,может понравится твоим домочадцам а, если нет, придется есть все самой
Большое СПАСИБО за вкусный ужин	А если всё равно не захотят - ко мне приезжай, я тебя ещё и своими шампиньонами фаршированными с перловкой угощу!
А если всё равно не захотят - ко мне приезжай, я тебя ещё и своими шампиньонами фаршированными с перловкой угощу!	Представляю себе эту вкусноту!!!!!!!!!!11
Ликуся, делала твое ризотто уже давно, но все забывала заглянуть в темку	Ирина,бывает и со мной такое,приготовлю рецепт с форума и все никак не дохожу к хозяйке рецепта отчитаться
Такая вкуснятина, просто обалденный рецепт для любителей перловки Хочу снова сделать на днях. Спасибо!!!!!!!!!	Как приятно читать ,что рецепт такого простенького блюда пригодился и понравился.
Лика , огромное спасибо за рецепт этого ризотто.	Я давно на него заглядывалась , а тут сподобилась приготовить.
Я давно на него заглядывалась , а тут сподобилась приготовить.	Еще раз спасибо!
Еще раз спасибо!	И Вам Огромное спасибо, Ирина,за чудесный, красивый и невероятно аппетитный фото-отчет !
	Акилежна
Лика, спасибо за рецепт. Ребенок стал кушаь перловку. Делала без вина, но вкусно все равно!	Ариночка,на большое здоровье всему семейству я очень рада ,что рецепт пригодился и малышу перловка пришлась по вкусу спасибо большое за отзыв!!!
о вкусно очень-очень. У нас ели даже те, кто перловку в принципе не ест! Спасибо за отличный рецепт.	сто тысяч раз спасибо за добрые слова и аппетитный фото-отчет!!!! Ооооочень рада, что рецептик не подвел! Спасибо огромное за доверие к рецепту, за приятный отзыв и отчет!!!
тот рис понравится тем, кто предпочитает употреблять легкие блюда.	И тем, кто без ума от манго!!!
Уверена, это очень вкусно!	Леночка, это и вкусно и полезно. Забирай на здоровье!
МАНГО!!! Господи, как же я люблю его!!!	Любочка, если не жалко использовать манго в таком необычном для манго рецепте, то обязательно попробуй. Очень интересный и вкусный рис получается
!семян черной горчицы[/i][/color]	"Чё за ""фрукт"" такой???? Ищу в интернете , что б хоть почитать , но не нашла."
"Чё за ""фрукт"" такой????"	Виктория, извините, что не сразу ответила. Семена черной горчицы - это очень популярная специя в индийской кухне, придающая особый неповторимый аромат блюдам. Более подробно можно прочитать, например, здесь http://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D1%87%D0%B8%D1%86%D0%B0_%D1%87%D1%91%D1%80%D0%BD%D0%B0%D1%8F
Чем заменить то хоть?	Если Вы не найдете семян черной горчицы, то можно заменить на семена другой, доступной Вам горчицы. Раннее я писала об отличии семян различных сортов горчицы здесь http://forum.say7.info/topic56756.html
Леночка. ты меня проглядела...	ОЙ!!!!!!!!!!!!!! Сорри!!!!!!!!!!!!!!!!Я сейчас какая-то рассеянная с улицы Бассеиной...
Скажу тебе без преувеличения - вкус просто ОРГАЗМИЧЕСКИЙ!!!	Я вылизала всю креманку, как чуша...
Я вылизала всю креманку, как чуша...	Знаешь, если бы я была рядом, то сделала бы тоже самое, т.к. кашка у тебя получилась мега аппетитная! Видно, что манго просто супер сочное и кашка вся такая мягенькая и нежная!
ОЙ!!!!!!!!!!!!!! Сорри!!!!!!!!!!!!!!!!Я сейчас какая-то рассеянная с улицы Бассеиной...	Веснааа видать!
Я сначала хорошенько рассмотрела и насладилась красотой твоих фоток А потом прочла текст - ну ты меня рассмешила	
	Скажу тебе без преувеличения - вкус просто ОРГАЗМИЧЕСКИЙ!!!
Видно, что манго просто супер сочное и кашка вся такая мягенькая и нежная!	Да, оно прям истекало соком! Ооочень нежно и вкусно было!
Моя ты девочка, как мне было приятно читать твой отчетик!	Спасибо большое и за доверие рецепту и за стока приятных слов и фоток!
Веснааа видать!	Да если бы...
Аааа, опять захотелось!!!	ТЕН
Да если бы...	Dellamisa
Я вчера делала такую кашку,очень вкусненькая,только правда делала без специй,так как доче давала,но обязательно попробую и в таком рецептике,обожаю манго,кстати с кунжутным маслом такааая вкуснотень. А по рецепту обязательно сделаю,а то я мужу прочитала сказал обязательно попробовать сделать	Леночка, конечно Вы делаете правильно, что готовите без специй Вашей дочке, если она маленькая.
Получилось очень вкусно. В следующий раз попробую, всё-таки, точно по рецепту всё сделать.	Так, иногда, бывает, что не все в наличии...
Лена, делала твой плов, правда уже пару месяцев назад, мне очень понравилось.	Наташенька, я рада, что плов тебе понравился!
Очень вкусно!	Готовь на здоровье! И спасибо за отзыв!
Леночка , это очень вкусно. Буду такой рис теперь готовить часто.	Ликочка, я рада, что ты потихоньку осваиваешь разные варианты приготовления риса!
Лук я обожаю,вчера додумалась и посадила у себя на терассе ,так что скоро у меня будет свой зеленый лучок!	Вот здОрово! Надо и мне посадить!
Спасибо за рецепт!	Ликочка, спасибо тебе, что радуешь меня своими отчетами и невероятно аппетитными фотками!
Получилось просто нереально вкусно. Никогда бы сама не додумалась до такого сочетания.	Мне очень приятно узнать, что рецепт понравился!
В следующий раз сделаю всё как нужно. А делать буду еще не раз - уж очень понравилось блюдо.	На большое Вам здоровье!
Зато полезно как,спасибо!!!	На здоровье!
Приятного аппетита![/i][/color]	такой интересный рецепт, обязательно попробую, спасибо
Леночка, я к тебе с вкусняшкой!	Вижу Эсмирочка, какую красоту ты мне принесла!
Благодарю тебя за этот простой и вкусный плов, который готовится на раз-два-три!	И тебе спасибо большое за доставленную радость!
такой интересный рецепт	Рада, что рецепт заинтересовал!
обязательно попробую, спасибо	Готовьте на здоровье!
Леночка, я к тебе с пловом!	Ты знаешь, давно я столько не ела! Подкладывала себе добавочки пару раз!
Ты знаешь, давно я столько не ела! Подкладывала себе добавочки пару раз!	Элиночка, я тебя понимаю, сама не могла оторваться
Леночка, поздравляю с днем рождения!!!	Танечка, СПАСИБО ОГРОМНОЕ! Очень-очень приятно!
Ты видела сколько тебе пришло поздравлений?	Плов по твоему рецепту, дорогая Леночка, делаю часто и очень довольна.
Плов по твоему рецепту, дорогая Леночка, делаю часто и очень довольна.	Я таааак рада!
Леночка, спасибо за аватарку.	Танюш, да это тебе спасибо и за комплимент и за информацию о поздравлениях!
Наконец я тебя увидела.	Да уж, вот она я
Очень приятная девушка!! Спасиб	ТЕН
Ленусь, а это наш вчерашний ужин!!!	Элиночка, вот это да!!!!!!!! Вижу, что этот плов Вам действительно понравился На большое пребольшое вам здоровье Спасибо за хороший отзыв и чудесную фотку!
Леночка, приветик, моя хорошая!!!	Приветик, Любочка!
А я к тебе с пловом!!!	Уррррааааааа!
Вместо томатного сока - у меня протертые томаты натуральные (может поэтому он у меня такой красненький	То что красненький, это нормально. И у меня был красненький, это только на фото не очень видно.
И еще вопрос, Леночка, чешуйки миндальные - это хлопья/лепестки?	Да, точно, они Я, иногда, когда перевожу текст с английского, не могу вспомнить правильные русские слова
Вообще понравилось ОЧЕНЬ!!!	Ну а аромат.... Аромат меня просто свел с ума!!!
Ну а аромат.... Аромат меня просто свел с ума!!!	Ой, как же это здОрово! Мне ооочень приятно, что тебе понравился этот плов. Спасибо и тебе, зайка, за аппетитную тарелочку и теплые слова!
То что красненький, это нормально. И у меня был красненький, это только на фото не очень видно.	Аааа, вон оно что! Ну а я уж испугалась, что чего-то не то натворила!
Да, точно, они Я, иногда, когда перевожу текст с английского, не могу вспомнить правильные русские слова	Ясно!
Ой, как же это здОрово! Мне ооочень приятно, что тебе понравился этот плов. Спасибо и тебе, зайка, за аппетитную тарелочку и теплые слова!	Dellamisa
Ликуся, а твоей семье понравился этот рецепт? Только честно!	Леночка,честно,понравился!
Вот я и волнуюсь.	Не волнуйся Леночка,все было очень вкусно!!!
Судя по фото он у тебя получился превосходно!	Спасибо большое за похвалу!!!!
Леночка,честно,понравился!	Фух! Тогда я очень рада!
"Дала выбор мужу какой рис готовить ,""Томатный плов ""или ""Шафрановый рис с изюмом и фисташками""выбрал томатный"	Хороший выбор!
К сожалению, только такое фото сохранилось - это я с собой на работу брала. А получилось очень вкусно.	Ну, это же самое главное!
У меня были ВСЕ специи.	Ой, как здорово! Это так редко бывает!
Вкус неожиданный, непривычный, но понравилось с первого раза очень-очень. И на работе понравилось ВСЕМ.	Я очень-очень этому рада!
А вот дома пришлось адаптировать под вкусы семьи... Мой муж некоторые специи не ест ни в каком виде (например, корицу или кинзу). Так что вчера я делала два варианта (время позволяло).	Ох, уж эти мужья!
Обязательно еще не раз приготовлю.	Спасибо Вам большое за такой подробный отзыв и замечательную фотку!
Вообщем все очень очень понравилось	Я очень рада!
А овсяные хлопья быстрого приготовления или типа Геркулеса?	людмила, у меня были овсяные хлопья быстрого приготовления.
О, очередная вкусняшка!	Наташенька, мерси!
Влада, приветик!	Я с кашкой к тебе!
Ммм, как вкусно! Только я не поняла 1 ст.л. - это 1 столовая ложка?	Оксаночка, Вы правильно поняли!
Ой, а я что-ли первая на такую вкусную кашку?! Юля, замечательный рецепт! Уверена, у моей детворы пойдет на ура!!! Нам мама в детстве часто готовила рисовую кашу просто с яблоком-безумно нам нравилось! А тыковка еще и сладость, и красивый цвет придаст!	Лена,спасибо,что заглянула!!
Скажи, рис, я так понимаю, лучше брать не пропаренный?	Да,рис не пропаренный,круглозёрный
Ой ой ой и я очень люблю и тыкву и рис! Красота! Обязательно сделаем завтра. Ждите с отчетиком.	Анна!!!Спасибо!!
Люблю рисовую кашу с тыквой, люблю рисовую кашу с яблоком, а теперь получается два в одном и это очень вкусно	Юленька,спасибо за рецепт и то блаженство которое я получила вкушая сие ество
Юленька,спасибо за рецепт и то блаженство которое я получила вкушая сие ество	Татьяна ,я уже писала,что вот ,если Вы заглянули в темку,то обязательно придёте с отчётом!!!
Замечательная каша	Света,спасибо большое и готовьте на здоровье
Люблю рисовую кашу с тыквой,	и я ... а вот с яблоком рисовой каши никогда не ела
и я ... а вот с яблоком рисовой каши никогда не ела	я тоже не ела... будет интересно, только сварю немного, мои тывку не очень то жалуют
и я ... а вот с яблоком рисовой каши никогда не ела	я тоже не ела... будет интересно, только сварю немного, мои тывку не очень то жалуют
я тоже не ела... будет интересно, только сварю немного, мои тывку не очень то жалуют	Юля, спасибо за рецептик
Ко мне на следующей неделе прибудут тыквы от свекрови из Таганрога	Сама я ,если ты помнишь, не смогу оценить такую кашку, но богатырю своему приготовлю , он такое ест. Кашка замечательная, питательная и ароматная. Я всё, что с корицей очень уважаю
Сама я ,если ты помнишь, не смогу оценить такую кашку, но богатырю своему приготовлю , он такое ест. Кашка замечательная, питательная и ароматная. Я всё, что с корицей очень уважаю	Приготовь,если любит!!Корица вносит приятную нотку
karolina-r писал(а):	и я ... а вот с яблоком рисовой каши никогда не ела
не буду оригинальной-я тоже не ела )))) Но надо запомнить рецептик- уж больно соблазнительная каша у Юли на фото	Спасибо,Юль!!!
Юличка, как и обещала пришла с отчетом	Каролина Ой,какая каша у Вас аппетитная!!Я вообще каши очень люблю,а рисовую особенно,но,к сожалению,не могу её часто есть,из-за некоторых её особенностей
вкусняшка какая	обязательо такую кашку сварю
к сожалению,не могу её часто есть,из-за некоторых её особенностей	... и я тоже
"Юлечка, и я тебе тарелочку принесла! Каша просто чудесная! Варила деткам-слопали со скоростью звука, родителям только на пробу пару ложечек оставили! А муж, облизывая ложку, сказал:""Каша из детства!"""	Так что готовить теперь такую лакомку буду регулярно! Спасибо за рецепт!
Юля! С удовольствием воспользуюсь твоим чудесным рецептом!	Малгося рада буду,если оценишь!!!Готовь на здоровье!
ой, ну я прям краснею Светик, спасибо, очень рада, что нравитс, кушайте на здоровье	Ляночка08
Она и без них вкусненькая, но рекомендую всё-таки попробовать когда-нибудь авторский вариант, и орешки на другие не советую менять, с кедровыми ооооочень вкусно, они сами по себе сладенькие и лёгкие на вкус	Удачи
	Делаю часто как десерт, то есть без каши, а только глазированные бананы с кедров
Какая же это вкуснятина!	Вся семья была в восторге!
Теперь требуют овсянку именно в таком варианте!	А её очень легко готовить, да и бананчики глазированные очень интересные по вкусу
Спасибо, Татьяна, за чудесный рецептик!!!	На доброе здоровье всем и благодарю за аппетитный фотоотчётик
Очень вкусно получилось. Буду повторять обязательно. Спасибо за отличный рецепт.	Ната, благодарю за доверие рецепту и фотоотчёт пользуйся на здоровье
надо сделать для внучки	Спасибо за внимание и удачи
Влада, так аппетитно...	Татьяна, благодарю!
вот классная идейка-спасибо, у меня вопрос: вы использовали хлопья или это была крупа. люблю каши!	Анна, у меня были овсяные хлопья.
а сколько надо жидкости? и как долго она варится, ведь у каждой крупы свое время варки!??	Ирина, на разное количество крупы, разное количество жидкости.
