fist_phrase	reply
-Он на пенсии по ранению. Ему пить нельзя.	И с башкой у него нелады. Так что лови шайбу.,,,,,,,
суп и отвар от головы. -За телефон сколько я должен?	-А, бесплатно. -Спасибо.,,,,,,
Ты щи приготовила? -На плите.	-Колобок, у меня сегодня щи!,,,,,,
"-Колобок,"" у меня сегодня щи!"	"-Тань"", время!,,,,,"
"Так что подумайте над моими словами. -Знаете, я справляюсь. Еду готовят,"""	"полы сам мою..."",,,,,"
"О,"" ничего супчик."	"РИТМИЧНАЯ МУЗЫКА"",,,,,,"
Я еду один.	Я так решил, все.,,,,,,
"Он что, пить начал? -Да нет, первый раз вижу,"""	"чтоб столько. -Давай его хоть укроем"", а?,,,"
"пить,"" мне нельзя. Я замужем. -Чего?"	"-Я не буду с тобой пить"", я замужем - неположено.,,,,,"
"-Я не буду с тобой пить,"" я замужем - неположено."	"-А что пришла?"",,,,,,"
"-Тут мясо,"" чтобы не с пустыми руками. -Рахмат."	"-А у Зафара вот двое есть сыновей. Уже взрослые."",,,,,,"
-Можно потом? -Я с утра еду в СИЗО забирать Антона.	Он что, сирота? У меня что, личной жизни нет?,,,,,
"-Обыкновенный крысиный яд. И вот так - в мясо,"" колбасу -"	"в то"", что собаки любят. Разбрасывают по паркам, по скверам, где собаки,,,"
"-Давайте. -Я так люблю,"" когда мужчина кушает."	"А то я в тот раз в рейс пошла"", налепила вареников, а Володя ничего,,,,"
"не ел. Ну, может,"" борща пару половников."	"-Так вы стюардессой работаете?"",,,,,"
Что ты жрешь все время?!	Я тебя все время должен искать, что ли?! Фаталист собачий! Иди домой!,,,,,,
Ты с каких пор на улице жрать стал?	Что рожа довольная такая?,,,,,,,
"Нельзя ему пить совсем. -Он три месяца не пил,"""	"а тут как с цепи сорвался. Ничего"", увезу я его отсюда.,,,,,"
"Вот она,"" продажная любовь за угощение."	"-Не бывает бескорыстной любви. Любишь - доказывай."",,,,,,"
-Второй вопрос невесте. Любимое блюдо Джаника.	-Котлеты по-киевски.,,,,,,,
-Котлеты по-киевски.	-Шашлык. -Правильно, Джаник?,,,,,,
"-Оксана, он не пьет. -Давай за тебя,"" моя девочка."	"За то"", что ты так хорошо все придумала.,,,,"
"-Котлеты Джанику. Я говорил,"" лаваша мало."	"-Ваши котлеты. Приятного аппетита."",,,,,,"
-Ваши котлеты. Приятного аппетита.	-Приятного аппетита. Ну все, я пошла.,,,,,,
"будут кушать? Думаешь, на тебя суда нет? Ты знаешь,"" кого отравил?"	"Ты следователя из МУРа отравил. -Что?"",,,,,"
"#NAME?, и меня Бог уберег. Весь день на ногах,"" кушать некогда было."	"-Гулять. -Но свадьба веселая была."",,,,,"
"Ты шо,"" пил?! Джаник! Ты же за рулем! Ах ты ж гад!"	"-Эй! Горе у меня. Разве непонятна ситуация? Меня все предали."",,,,,,"
"-Понятно. -Но если ты покушаешь бульончик,"""	"то я узнаю"", как ее звали.,,,,,"
"-Где мой плов? -Почему, когда еда пропадает,"""	"все время Улукбек виноват? Улукбек там виноват"", Улукбек тут виноват...,,,,"
"я картошки сварила. -О,"" иди кушай."	"-Улукбек"", я буду жаловаться на тебя. У своих нельзя воровать.,,,,,"
и еда стала пропадать.	-Отстань от меня!,,,,,,,
"-Нет, жених пил, а он не отравился. -Откуда я знаю,"" как дело было?"	"Хозяин денег не платит. Теперь как платить за общежитие? Не знаю."",,,,"
"-Мясо обжаривают до румяной корочки. И потом, когда мясо и рис готовы,"""	"казан выстилают лавашом"", чтобы края свисали. И туда уже потом кладут рис,,,,"
"мясо, специи, курагу,"" изюм. И лавашом как бы запечатывают этот шах-плов"	"и на 40-60 минут в духовку кладут. -Перестаньте"", у меня сейчас,,,"
-Любимое блюдо Джаника. -Котлеты по-киевски.	-Галя могла пойти в кухню?,,,,,,,
"пьют и на балалайке играют. -А вы не пьете, только чай,"""	"халва"", да? -А вы стариков своих не уважаете.,,,,"
"кушать, на пару? Понимаете? Кушайте, Кузнецов,"" молодец."	"Значит так"", или вы соблюдаете режим, или вы сейчас же подписываете бумагу,,"
"-Нет, не сходится. Джаник пил,"" ел плов и не отравился."	"-Он не пил. -Он же пил."",,,,,"
-Он не пил. -Он же пил.	-Он не пил, ему официанты воду наливали вместо водки.,,,,,,
"-Он не пил,"" ему официанты воду наливали вместо водки."	"-А как так получилось"", что Галин пакет оказался в коробке со специями?,,,,,"
"такую реакцию на алкоголь. Отравились все,"" кто пил и кто ел плов."	"-Ни фига себе! -Ужас."",,,,,,"
"Потом смотрю - нормальный мужик, не пьет. А ты знаешь,"" как мы с ним"	"познакомились-то? У нас поезд в отстойнике стоял. Ну я там пока"",,,,,"
"Ты хоть жрешь что-нибудь,"" нет? -Жру!"	"-Мавлюда-апа"", там Фуркат на крыше! Пойдемте!,,,,,"
"И это был не Фуркат. Видишь,"" какая лапища?"	"Никак не могу в меню фотографий войти."",,,,,,"
"#NAME?,"" что стоим! -А обед закончен давно."	"Идем убирать"", снег идет. -У вас совесть есть? Люди по 14 часов,,,,,"
"-Может,"" тебе суп разогреть? Леся приготовила."	"-Не надо."",,,,,,"
"Пьет и не пьянеет,"" гад. Здесь все по делу Грачева."	"-Лопатой греби."",,,,,,"
"-Вдруг ты со свининой не ешь. В общем,"" жуй."	"Короче"", подстроил все Грачев с подачи Воронова.,,,,,"
"-А я... На вот,"" беляши с мясом забери."	"Знаешь чо!"",,,,,,"
"-Что мы,"" чай будем пить? -Ну да."	"-Вот я... сколько раз обжигалась"", и ничего, руки не опускаю.,,,,"
"-Смени тему. -Ой,"" а завтра я на Рублевку еду."	"К богатому вдовцу. Молодой"", считай, 70 лет. Генерал. Дети за границей.,,,,"
"Всего-то час в парке,"" укол и обед. Он одни макароны лопает."	"Я уже и договорилась. Ну мне правда от него отдых нужен."",,,,,,"
"-Едрена дрянь. -Пейте кофе,"" не разговаривайте."	"Я там оставила на ужин гречку на плите. Подогрейте."",,,,,,"
Я там оставила на ужин гречку на плите. Подогрейте.	На ночь лекарство выпейте, ладно? Одну таблетку.,,,,,,
"-Жрать охота,"" а!"	"-Месье"", можно на пару слов?,,,,,"
"-Я пил сильно,"" теперь в завязке. Вот исправляюсь - кружку ищу."	"-А как дядю зовут? -Должанский"", тромбонист такой,,,,,"
"Он что, с паспортом чай пил? -Тысячу взял,"" две оставил."	"-Милосердный."",,,,,"
"-Я не пью ни капли. Ты знаешь,"" как стекло хожу."	"-Пока меня в маленькой комнате поселил для прислуги."",,,,,,"
Ты где? Суп стынет!	Миш?..,,,,,,,
"-Ладно,"" пойду угощение отнесу. -Папа занят."	"-А кушать? -Не """"""""кушать"""""""""","" а """"""""есть""""""""."""""",,,,,"
"-А кушать? -Не ""кушать"", а ""есть""."	-Понятно, что Мавлюде пистолет не нужен.,,,,,,
"А что у нас такой борщ соленый? Ты влюбилась,"" что ли?"	"Ты чо? Я пошутил!"",,,,,,"
"Все хотят законы обойти, да? Роза Каримовна,"" вот эти все угощения"	"мне ни к чему - я на диете. Нет"", штраф вы, конечно, заплатите.,,"
-Что это? -...пьешь сельдерей и молодеешь.	Смотри, что покажу.,,,,,,
У нас традиция - каждый выходной кто-нибудь из друзей готовит блюдо.	Сейчас моя очередь. Я про лагман ляпнул, не подумав...,,,,,,
выбрать правильное мясо и не забыть купить узбекские лепешки. Справитесь?	-Еще раз... Что?,,,,,,,
"говядина,"" снимается с бульона пенка. -Бесполезно. Я не приготовлю это"	"никогда в жизни. -Почему?"",,,,,,"
"-Сплюнь. -Гена,"" ты роскошный ужин обещал."	"-Я никому ничего не обещал."",,,,,,"
"Не хочешь? А я выпью немножко,"" я сегодня еще ничего не пил."	"Господи"", какая же ты красивая!,,,,,"
друг друга жрать. -Я поддерживаю.	"""-Давайте подавать в суд на этот... -""""Ребилдинг-Би""""."",,,,,,,"
Полька овощи на пару приготовила.	Брокколи. Да. Вкусно.,,,,,,,
"за столом? Он что, меня ударил,"" а потом продолжал лагман кушать?"	"Нас в доме было только трое. Я уверен"", что кто-то меня ударил,,,,"
"-Знает же,"" что ему пить нельзя. Специально себя убивает."	"Жить не хочет"", будто нет ничего важнее в жизни, кроме работы.,,,,"
"Вы очень хорошо ее знаете,"" так как раньше она разносила здесь выпивку."	"Но сегодня она преподнесет вам"",,,,,,"
так что собирайте манатки! Хватит жрать коктейли!	Выметайтесь! Всё, пока, Роджер. Развлекайтесь!,,,,,
Забирайте выпивку с собой!	Часто это делаешь?,,,,,,,
Кто вообще в Японии делает ставки на бегах во время завтрака?	- В Японии уже не время завтрака. - Джо, мы пошли!,,,,,,
"- В Японии уже не время завтрака. - Джо,"" мы пошли!"	"- Ребят"", вы свихнулись. - Я сделал приличную ставку на этот заезд.,,,,,"
"- Я просто... - Он пьет. Ты ведь знаешь,"" каково это!"	"Детка"", он еще здесь.,,,,,"
"Ты, наверное, подумала,"" что он много пьет?"	"Ты даже не представляешь"", сколько.,,,"
- Без выпивки? - Что-что?	Без выпивки?,,,,,,,
Без выпивки?	Без носков?,,,,,,,
"Ты что,"" пьешь? Успел накидаться уже?"	"- Да я так"", парочку. - Сейчас утро.,,,,,"
"Да, давай,"" пей."	"- В стакане найдешь ответ. - Не знаю. Возможно"", я тебя подвел.,,,,"
Ты не пьешь.	Что ты говоришь?,,,,,,,
Я не пил. Нет.	- Я должна вернуться к ребятам. - Ах, да, конечно.,,,,,
"Это не в твоей власти,"" папа. Ужин остынет. Ешь давай."	"Прости. Я не знаю"", который сейчас час. Возьми фруктов.,,,,,"
"Прости. Я не знаю,"" который сейчас час. Возьми фруктов."	"Сколько раз ты таскал мое пианино по лестнице?"",,,,,,"
"Мы познакомились, когда ты пил,"" а теперь не пьешь."	"Я же не всё это время пил."",,,,,"
Я же не всё это время пил.	Я знаю, но ты стал пить больше после нашего знакомства.,,,,,,
"Я знаю,"" но ты стал пить больше после нашего знакомства."	"Всё нормально"", пожалуйста, ради Бога. Я просто хотела узнать, вот и всё.,,,"
"Ну ладно,"" я больше не могу. Придется заказать обед. (рамен - лапша.)"	"Хорошо. Возьму Шанхайскую с сыром."",,,,,,"
Я хочу заказать обед.	Извините, но мы не занимаемся доставкой до 5 вечера.,,,,,,
"Но,"" я всего лишь проголодался... И хотел заказать обед..."	"Заказать обед? Это и есть твоё желание?"",,,,,,"
Заказать обед? Это и есть твоё желание?	Я могу выполнить что угодно, - не только это...,,,,,,
Да. Это - магический напиток.	Если ты его выпьешь, твоя смелость увеличится в сотни раз.,,,,,,
Шекспир описывал такой же напиток.	Очнувшись, ты полюбишь первого, кого увидишь.,,,,,
"Кей,"" подожди меня. Спасибо за угощение."	"В чём дело"", Скулд? Чем ты так расстроена?,,,,,"
"Кушай быстрее,"" не то опоздаешь!"	"Спасибо."",,,,,,"
"""Мороженки"" наша единственная пища,"	и мы голодаем месяцами.,,,,,,,
Пейте антизапорный йогурт.	Спустишка.,,,,,,,
Бедняжка. - Во сколько человеку положен завтрак?	Я ем в 8 утра. - А я, после полудня.,,,,,,
А обед? - В половину пятого.	А как же ужин? - Да после рассвета уже.,,,,,,,
А как же ужин? - Да после рассвета уже.	Так тебе и спать некогда? - Только успею поужинать,,,,,,,
"Так тебе и спать некогда? - Только успею поужинать,"""	"...как петухи начинают петь."",,,,,,"
Ты только о еде и думаешь.	Сам уже похож на черный паниярам.,,,,,,,
Да. Обед на столе.	Это еще кто? - Я здесь.,,,,,,,
Но пить нужно на свои деньги.	Он умнее тебя.,,,,,,,
Он хотел суп из бараньей ноги.	Мой брат не знает как варить его.,,,,,,,
Еда будет хорошая. - Они не слышат меня.	Быстро в автобус!,,,,,,,
"Суп! Нет,"" молоко у меня горит."	"Я доделаю мои дела здесь"", и догоню вас.,,,,,"
Я не пью чай. Давно! Идите своей дорогой.	А как насчет молока со специями?,,,,,,,
- А что у вас на десерт? - Салат из свежих фруктов.	- А еще что? - Больше ничего.,,,,,,,
почитания мертвых и культа мертвого мяса.	Он высмеивал консервативный буржуазный брак,,,,,,,
Напились в стельку. Сожрали всю нашу еду.	- Домой их тоже ты понесешь? - Но они же инвалиды...,,,,,,,
Я еду в Финляндию.	Несчастный случай, произошел со мной не там, но мне надо в Финляндию.,,,,,
А что ты пил утром? - Кофе.	То есть, только утром.,,,,,,
..пришёл и умыкнул твой кусок пирога.	Вот и готово.,,,,,,,
"Рэй. - Что ты пьёшь,"" Рэй?"	"Апельсиновый сок"", хорошо.,,,,,"
Какай прекрасный день. Не правда ли?	Вы в отпуске? - Почему?,,,,,,,
Завтрак вот приготовила... Или я зря старалась?	Да нет, просто ....,,,,,,
"Вкусно... О чудный вкус еды,"" приготовленной Верданди."	"Вкусно"", вкусно!,,,,,"
"Я приготовила завтрак. Наверно,"" мне не нужно было это делать?"	"Это не так"", но...,,,,,"
"Когда будешь говорить с ней,"" поблагодари её за выпивку."	"Понял."",,,,,,"
"Отлично, сухая одежда,"" горячая еда."	"Этого роботам не понять."",,,,,"
Пить хочешь?	Да. То же, что и ты.,,,,,,
Я ужасно хочу пить.	Мне и правда нехорошо.,,,,,,,
Я очень хочу пить.	Хочешь воды?,,,,,,,
Решил пообедать с тобой.	У тебя есть время?,,,,,,,
Эти ужины вечно затягиваются.	А у тебя какие планы?,,,,,,,
А ты не пошел на ужин?	Я поссорился с Борисом, нашим стажером.,,,,,,
- Что будете пить? - Я схожу с тобой.	Как я испугалась!,,,,,,,
"Я тебя отвезу,"" я почти не пил."	"Я тоже."",,,,,,"
Давайте-ка расхлёбывайте эту кашу без меня.	Ублюдок!,,,,,,,
Тебе бы пить только из кружки-непроливайки.	Как так получилось, что я могу дышать под водой,,,,,,
но пиво пью хуже тебя?	Это моя суперсила.,,,,,,,
"Я лишь пушечное мясо,"" и хорош в этом."	"Я ничего не делал"",,,,,,"
"что ж,"" у меня много лет не было пищи."	"Я уже давно голодаю."",,,,,,"
"Ты что,"" он вернулся с делового ужина."	"-Ева"", прекрати эту комедию! -Отстань!,,,,,"
Вашему другу надо меньше пить.	Что ты там делаешь?,,,,,,,
Пейте!	Но я не понимаю, Флоранс. Я же видел Вас, садящейся в такси...,,,,,
"Послушай, я тебе всё объясню,"" пусти меня! Хватит пить!"	"Он тебя унижает"", заставляет страдать? Скажи мне это.,,,,"
Вы не обязаны в пятницу приходить с Яном на обед.	Я что-нибудь придумаю мужу.,,,,,,,
-Так ее муж приглашает вас на обед? -Ты меня достал.	Вы уже официально вместе?,,,,,,,
"Я начинаю пить,"" потом начинаю делать гадости."	"Я это понял."",,,,,,"
"На,"" дорогой. Пей. Тебе станет лучше."	"Что вы с ним сделали"", что он в таком состоянии?,,,,,"
Насчет обеда в пятницу? Все еще в силе?	Откроешь?,,,,,,,
"- Она ушла. Сказала,"" что возьмет твой мотороллер и вернёт его в обед."	"- Да?"",,,,,,"
До моего прихода ничего им не говори. Я еду следом за тобой.	- Хорошо.,,,,,,,
"Утром - ничего, а к обеду оно ускоряется. Ускоряется,"" как будто сейчас выскочит."	"Я не могу дышать"", я просто задыхаюсь.,,,,"
- У меня опять сердцебиение. Я пью лекарство - оно не помогает.	Приходится так и ходить на работу.,,,,,,,
- Элен зайдёт после обеда.	До скорого!,,,,,,,
"Мадмуазель,"" можете убрать у неё капельницу после обеда."	"Когда Вам будет лучше - зайдите ко мне. До скорого."",,,,,,"
"Но продолжайте пить Ваши лекарства. Я уверен,"" что с Вами будет всё в порядке."	"Желаю Вам удачи!"",,,,,,"
"<i>повсюду можно пить и любить. Свободу,"" свободу нам!</i>"	"А Вы что здесь делаете?"",,,,,,"
"Может,"" выпьем по стаканчику или даже поужинаем?"	"Так"", в качестве благодарности.,,,,,"
"Если вы свободны завтра,"" не могли бы сходить к моим друзьям на ужин?"	"Да. Конечно."",,,,,,"
Такие обеды для нас традиция.	Моя жена устраивала их давно, а моя дочь шокировала всех.,,,,,,
"Ах, ты! Я тебя съем, я тебя съем,"" целиком проглочу. Скушаю."	"Давайте. Ой"", ой, ой, ну иди ко мне, малышка."
- Папа придёт завтра на обед. - Спасибо.	Манон! Что на тебя нашло?,,,,,,,
"Ты много пьёшь,"" особенно в сочетании с антидепрессантами."	"Ты мне не мать."",,,,,,"
- Посмотри на меня! - Ты слишком много пьёшь.	Ты много пьешь.,,,,,,,
Ты много пьешь.	А ты? Ты никогда ничего не говоришь, а? Ничего не говоришь.,,,,,,
"Пойдем пить чай,"" Рит?"	"Спать пора"", девочки. Отбой!,,,,,"
"Пей без разговору. Приказываю,"" пей."	"Пей!"",,,,,,"
Пей!	Ой, мамочка!,,,,,,
"Картошка сварится,"" пообедаешь!"	"Девчата."",,,,,,"
"Дымком тянет, значит,"" завтракать уселись."	"Только все ли шестнадцать?"",,,,,"
Остальным бойцам принимать пищу и отдыхать по мере возможности.	Поешь, Четвертачок.,,,,,,
Пить... пить...	- Сейчас. - Нельзя.,,,,,,,
"- Так что,"" что вы будете пить?"	"Коньячок или"",,,,,,"
я не пью.	- Ах, вот как! А может быть,,,,,,
Так что же будем пить?	Чай или кофе?,,,,,,,
"- Не такого напитка ""всё равно"". Значит, кофе. Лена, кофе."	- Любовь Петровна? - Да.,,,,,,,
"пьянчуга. - Чего пьянчуга,"" я же про закуску говорил."	"- А рамы у вас есть?"",,,,,,"
- Камин дрова жрет.	Вам лучше печка.,,,,,,,
"Вот то,"" что вы пьете."	"Несколько дурманящий."",,,,,,"
Это больше не пить.	А выпьем мы с вами вот что.,,,,,,,
Пейте.	Вот так всегда.,,,,,,,
выпивка и тайная...	Сами понимаете.,,,,,,,
Он никогда не пил.	В рот не брал.,,,,,,,
"Овощи,"" фрукты."	"Всё зависит от"",,,,,,"
"Оцэ сама копаю-копаю, я тоби борща дам,"" такий хороший борщ зварыла."	"Егор"",,,,,"
пироги начнет печь	пирожник,,,,,,,
Коль пироги начнет	тачать сапожник,,,,,,,
Я в первый раз услышать молитва о пище.	Иа! Иа! Кастулу фатага!,,,,,,,
"Пить, да. Псих,"" да. Но я говорить тебе правда."	"Иезекиль не лгать. Я последний человек в Имбока."",,,,,"
"Я пить,"" я псих."	"Ты - псих? Да неужели?"",,,,,,"
"Эй,"" мужик! Ты куда? - Я пью винцо."	"Я пью винцо Рибейро и Албариньо из Риас Байсас!"",,,,,,"
Я пью винцо Рибейро и Албариньо из Риас Байсас!	Я пью винцо Рибейро и Албариньо из Риас Байсас!,,,,,,,
Я пью винцо Рибейро и Албариньо из Риас Байсас!	Черт меня подери! Эй, вы не пьете?,,,,,,
"Черт меня подери! Эй,"" вы не пьете?"	"Отец?"",,,,,,"
Обед был слишком плотный.	Сомневаюсь, что дело в этом.,,,,,,
"Немного супа вчера вечером,"" к фазану не притронулась."	"Потом чай."",,,,,,"
-А после обеда? -Ничего определённого.	Ну....,,,,,,,
"Пожертвования больницам, супы для бедных,"""	"...защита животных..."",,,,,"
"изобилие еды и работы, одним словом,"" полный порядок."	"Я была слишком молода"", чтобы помнить.,,,,"
- Увидимся. - Твоя очередь покупать обед.	Полагаю раньше здесь был финансовый центр.,,,,,,,
И я не успею приготовить обед.	"""Я знаю что это """"большой ох""""."",,,,,,,"
Он приобрел машину на рынке за старый пикап и еду.	Нет никаких накладных продажи, ничего.,,,,,,
"- Питер! - Если ты тому куску мяса,"" то он в порядке."	"Дай ему несколько минут."",,,,,,"
"Ты не замечала,"" что кошки всегда возвращаются к ужину?"	"- Я не останусь. - Я не плохой повар."",,,,,,"
"Голова льва,"" тело козла. Основа для супа."	"Вряд ли."",,,,,,"
"за то чтобы их переправили в Канаду,"" желавшие заработать денег на еду... мертвы."	"Их выбросили за борт на границе их перевозчики"",,,,,,"
<i>Маи сабачки хатят нимношка</i> кушать.	Жаль, <i>щто</i> ты <i>прищел адин</i>.,,,,,,
"...я опоздал к ужину,"" лейтенант."	"Сэр"", на карте Джокера обнаружили вашу ДНК.,,,,,"
"...самосудом по ночам, избивая преступников голыми руками в мясо,"" и..."	"...вы хотите шантажировать этого человека?"",,,,,"
Я приготовил небольшой завтрак.	- Как угодно. - Альфред.,,,,,,,
Но у нас не хватит еды.	Чтобы добраться дотуда, придётся лечь в анабиоз.,,,,,,
Сегодня угощу всех ужином.	Что за чёрт?,,,,,,,
"Ты вовремя,"" я как раз собиралась варить суп."	"Отлично."",,,,,,"
Пирог с бузиной?	Я думала, это твоё любимое блюдо, а не его.,,,,,
"Я думала, это твоё любимое блюдо,"" а не его."	"Ты в этом уверена?"",,,,,"
"Ладно,"" пусть будет пирог с бузиной."	"Приходи на кухню"", как только закончишь.,,,,,"
"У него полная семья. Родители его любят. У них ферма, животные,"" еда на столе."	"Тут идеально."",,,,,"
Надо отпраздновать это событие. Позвольте пригласить вас ко мне на обед.	Очень хорошее и щедрое предложение.,,,,,,,
с шутками и угощением.	Глупо, Трот. Очень глупо.,,,,,,
"Моя гордость за возможность дать первый самостоятельный обед не знала границ,"""	"но результат оказался слишком далек от триумфа"", который я ожидал.,,,,,"
Баранина должна быть с кровью.	Возможно, нам стоит начать с устриц?,,,,,,
"Возможно,"" суп?"	"Суп?"",,,,,,"
Суп?	О, господи.,,,,,,
в прошлый четверг принял участие в торжественном обеде.	Не будем вдаваться в подробности его блестящего выступления,,,,,,,
"К тому же отец меня ждет к ужину,"" так что..."	"Ну ладно."",,,,,,"
"- Нет,"" серьезно. Ты ведь не пьешь. - Нет."	"- И не куришь. - Нет."",,,,,,"
Хочешь кушать?	<i>Там бы они сколько угодно катались на лошадях.</i>,,,,,,,
Хочешь кушать?	<i>И хотя бы иногда в своей жизни могли ничего не бояться.</i>,,,,,,,
Пирог принесла.	Я вчера написала ему.,,,,,,,
"<i>Он приготовил ужин. Лазанью,"" как всегда по воскресеньям.</i>"	"<i>Я спросила его о коллекции"", так что мы вдоволь наговорились.</i>,,,,,"
Я не еду.	Ты сейчас о чем? Поехали!,,,,,,,
Поужинай со мной.	Выпиваешь?,,,,,,,
Бокал или два за ужином.	Тим меня приучил пару лет назад.,,,,,,,
- Давай. Засунь мясо ему в рот. - (Джулс) Он съест.	- (Брайан) Я жду. (пес лает) (Донни кричит),,,,,,,
Чашки! Из них ты будешь с ней пить чай!	Поездун, доверься мне.,,,,,,
"Думаю,"" у неё дома пьют очень дорогой чай."	"Написано """"""""Беноист""""""""."""""",,,,,,"
"Бенуа. Компания основана в 19 веке,"" поставляет наилучшие напитки и еду."	"Умник"", спасибо за справку.,,,,,"
Спасибо большое за обед.	Встретить вас здесь так непросто.,,,,,,,
