fist_phrase	reply
-Я могу предложить вам обед? Или вы торопитесь к жениху?	-Нет, я не спешу, он будет поздно. -Замечательно.
"-Хорошо, давайте на ""ты"". Если не придётся пить на брудершафт."	-Не думайте обо мне так плохо. -Тогда за дружбу.
В полиции сейчас как раз обед. -Мы никуда не поедем.	Сергею Викторовичу нужна медицинская помощь. Он пусть едет.
-Что это? Вроде не пили ещё.	-Я такого никогда в жизни не видел.
Давай завтракать.	-Так красиво. Если честно, я первый раз здесь, за городом.
-Ну, не нужно сарказма, жаль борща нет.	-Почему же, есть,
А вы чего не пьёте? -Спасибо.	-Сейчас бы хорошо борща.
-Сейчас бы хорошо борща.	ТЕЛЕФОННЫЙ ЗВОНОК
Ленке в принципе пить нельзя,	она на антидепрессантах уже три года.
Цены-то на мясо одни и те же,	а вино не бесплатно.
-Первые три месяца ресторан съедал все вложенные деньги.	Но он думал, что это нормальные проблемы роста.
Ну, ковёр был безнадежно испорчен - пятна от еды, выпивки.	Он был белого цвета, поэтому никакая химчистка бы уже не спасла.
А сегодня пропало мясо.	Кто-то бессовестно ворует продукты с кухни.
Да, всё съели - прекрасно... -Посмотрел везде,	Виталия Юрьевича нигде нет.
Тебе нужно будет просто прийти на ужин,	передать некую сумму на благотворительность.
-А поужинать? -Нет, спасибо.	Кстати, а вы нашли, кто воровал продукты с кухни?
то не было бы ни шампанского, ни еды на столе.	Что, мол, я состоялся, а Георгий нет.
Пить много вредно.	-Товарищ майор, задержанный. -Заводи.
-Ну что, тогда поехали ко мне. Мясо в погреб бросим.	Потом в сельпо, затаримся.
Старик такую кашу готовит, закачаешься.	-А как я готовлю, тебе не нравится? -Почему? Очень нравится!
-Кушанье из гречневой каши...	с творогОм. -С твОрогом.
-Давай-давай, ищи! -Недаром казённую кашу ест.	Только ты с пригорка, и номер зашифруй.
-Видимо, мясо уже в погреб отгрузили.	Эй, хозяева! Дома есть кто?
Когда вы с ней встречаетесь? -После обеда.	-Вот и отлично.
-За меткую стрельбу пусть пьют биатлонисты.	А мы с вами выпьем за охотничье чутьё.
-А чего перегаром-то вам разит на 3 километра? Пили, что ли, вчера?	-Никак нет, товарищ полковник.
Я выпью? -Пей, Коля, это твоё последнее.	-Куда теперь? -Домой, Коля, домой.
Но не лечит ничего. Пей, пей.	Давай лечиться народными методами. Мы же на природе.
-Я к тебе с тортиком. И с фруктами. Тебе ведь полезно сейчас.	Пока твоего благоверного нет, будем лопать всё, что вздумается.
Она всю дорогу активированный уголь пила, живот у неё болел.	Он и блокировал действие. -Понятно.
-Я пить хочу.	-У вас попить есть? -Идёмте.
Спасибо богам за эту пищу,	за этот воздух, за эту землю.
-Пили? -Саня, чайку с липой выпьешь?	-Чаёк с липой. -Ну, всё понятно.
и холодную закуску на ваш выбор.	-Понятно.
-А то. Пострадал человек, рыбак. Рыбки съел из реки.	Если бы эта гадость попала в водопровод,
Ты пил?	Мы же договаривались.
-Ладно, выпьем и больше пить не будем.	-Вашу руку, начальство.
Я хочу выпить. Пейте.	А вы так со всеми женщинами галантны или только со мной?
Налейте мне вина. Я хочу... я хочу пить вино.	Вы знаете...
Давай я тебе чай принесу. Доктор говорит, тебе нужно пить чай.	-Давай.
